,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,Source,unique_id,xbva,Action Plan,Product #,LAC Lead,Output #,Work Plan,Meeting Notes,Catalogue of Mission Products,Mission Lead,Notes/Comments/Changes Needed,COVID-19 Updates,Task,"COR Approval 
Y/N",complete,ERP,MI2-Wide Tracker,MI2 BVA,Funding Source,MI2-Wide Tracker_x,Focal Area
40,"▪ Annual Report template/guidance/process and preparations; 
▪ Retreat preparations (see KM section above though for more on that); 
▪ Preparing for FY21 work planning and prepearing work planning templates/guidance/Gantt (timeline/deadlines/roles & responsibilities) to guide team; 
▪ Preparing notional budgets for FY21 and validating with client before providing guidance to team; 
▪ Ensuring budget principles are clear; 
▪ Supporting Q4 forecasting and validations; 
▪ Awaiting Modification No. 10 obligating additional buy-in funds (Africa B., LAC, Global Health, RDMA). 
▪ Continuing to follow up on Mozambique and CARPE buy-ins. 
▪ Initiating rate updates and adjustment in June invoice for Mod 9 rate updates. 
▪ Continuing to support buy-in narrative and budget responses (Moz approval pending; CARPE updates; RDMA submission; HEARTH; Africa Bureau BI)

▪ ICPA support that impacts MI2 but is not billed: PM hiring and recruiting/onboarding efforts; COI training for practice overall; 508 provider updares for practice overall.",7.3 Financial Management,7.3.1.B,"A semi-annual briefing on the budget, including burn rate, life of activity projections, and spending at the workstream level.",Process,,,,Elma,Sara,,Completed,1.0,100%,May,,workstream_products,Product #,7.3 Financial Management,,,,,,,,,,,,,100.0,FAB Financial Management,7.3 Financial Management,MI2 FAB Financial Management,FAB,7. PROJECT MANAGEMENT,Project-Wide Management
41,"▪ Annual Report template/guidance/process and preparations; 
▪ Retreat preparations (see KM section above though for more on that); 
▪ Preparing for FY21 work planning and prepearing work planning templates/guidance/Gantt (timeline/deadlines/roles & responsibilities) to guide team; 
▪ Preparing notional budgets for FY21 and validating with client before providing guidance to team; 
▪ Ensuring budget principles are clear; 
▪ Supporting Q4 forecasting and validations; 
▪ Awaiting Modification No. 10 obligating additional buy-in funds (Africa B., LAC, Global Health, RDMA). 
▪ Continuing to follow up on Mozambique and CARPE buy-ins. 
▪ Initiating rate updates and adjustment in June invoice for Mod 9 rate updates. 
▪ Continuing to support buy-in narrative and budget responses (Moz approval pending; CARPE updates; RDMA submission; HEARTH; Africa Bureau BI)

▪ ICPA support that impacts MI2 but is not billed: PM hiring and recruiting/onboarding efforts; COI training for practice overall; 508 provider updares for practice overall.",7.4 Staffing,7.4.1.A,"A staffing plan that is responsive to client needs and aligned to the resources available. This will include staff who are fully allocated to supporting MI2 from EI, FOS, and ICF as well as other staff of the implementing partner organizations and consultants.",Process,,,,Shelly,Sara,,Completed,12.0,100%,,,workstream_products,Product #,7.4 Staffing,,,,,,,,,,,,,100.0,Staffing & Recruiting,7.4 Staffing,MI2 FAB Staffing & Recruiting,FAB,7. PROJECT MANAGEMENT,Project-Wide Management
42,"▪ Annual Report template/guidance/process and preparations; 
▪ Retreat preparations (see KM section above though for more on that); 
▪ Preparing for FY21 work planning and prepearing work planning templates/guidance/Gantt (timeline/deadlines/roles & responsibilities) to guide team; 
▪ Preparing notional budgets for FY21 and validating with client before providing guidance to team; 
▪ Ensuring budget principles are clear; 
▪ Supporting Q4 forecasting and validations; 
▪ Awaiting Modification No. 10 obligating additional buy-in funds (Africa B., LAC, Global Health, RDMA). 
▪ Continuing to follow up on Mozambique and CARPE buy-ins. 
▪ Initiating rate updates and adjustment in June invoice for Mod 9 rate updates. 
▪ Continuing to support buy-in narrative and budget responses (Moz approval pending; CARPE updates; RDMA submission; HEARTH; Africa Bureau BI)

▪ ICPA support that impacts MI2 but is not billed: PM hiring and recruiting/onboarding efforts; COI training for practice overall; 508 provider updares for practice overall.",7.5 Compliance and Contracts,7.5.1.A,COI/SBU Training,Other,,,,Elma,Sara,,Scoping,,0-24%,,,workstream_products,Product #,7.5 Compliance and Contracts,,,,,,,,,,,,,12.0,FAB Compliance and Contr,7.5 Compliance and Contracts,MI2 FAB Compliance and Contracts,FAB,7. PROJECT MANAGEMENT,Project-Wide Management
43,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,"CE learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,CE Learning Group site,Production,12.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.A,,,,,,,,,,,57.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
44,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,"CE learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,CE Learning Group site,Production,12.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.A,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
45,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,"CE learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,CE Learning Group site,Production,12.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.A,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
46,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Prepare up to three CE newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.B,,,,,,,,,,,57.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
47,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Prepare up to three CE newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.B,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
48,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Prepare up to three CE newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.B,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
49,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Plan and host up to three webinars on topics relevant to the CE Learning Agenda,Product,,Caroline,No,Caroline,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.C,,,,,,,,,,,57.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
50,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Plan and host up to three webinars on topics relevant to the CE Learning Agenda,Product,,Caroline,No,Caroline,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.C,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
51,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Plan and host up to three webinars on topics relevant to the CE Learning Agenda,Product,,Caroline,No,Caroline,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.1.C,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
52,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Finalized CE MEL framework based on user input,Product,,Caroline,No,Judy,Megan,Google Folder,Review,3.0,80-89%,Feb,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.A,,,,,,,,,,,,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
53,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Finalized CE MEL framework based on user input,Product,,Caroline,No,Judy,Megan,Google Folder,Review,3.0,80-89%,Feb,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.A,,,,,,,,,,,,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
54,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Finalized CE MEL framework based on user input,Product,,Caroline,No,Judy,Megan,Google Folder,Review,3.0,80-89%,Feb,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.A,,,,,,,,,,,,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
55,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,TA Outreach in three to five missions: provide specialized TA to apply the CE MEL framework for missions programming a new CE activity or continuing with an existing CE activity,Process,,,No,Judy,Megan,CE TA to Missions,Scoping,10.0,0-24%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.B,,,,,,,,,,,12.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
56,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,TA Outreach in three to five missions: provide specialized TA to apply the CE MEL framework for missions programming a new CE activity or continuing with an existing CE activity,Process,,,No,Judy,Megan,CE TA to Missions,Scoping,10.0,0-24%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.B,,,,,,,,,,,12.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
57,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,TA Outreach in three to five missions: provide specialized TA to apply the CE MEL framework for missions programming a new CE activity or continuing with an existing CE activity,Process,,,No,Judy,Megan,CE TA to Missions,Scoping,10.0,0-24%,Sep,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.2.B,,,,,,,,,,,12.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
58,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Manuscript of CE TOC and findings,Product,Scoping Sheet,Natalie,,Judy,Megan,,Review,3.0,35-79%,Mar,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.A,,,,,,,,,,,57.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
59,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Manuscript of CE TOC and findings,Product,Scoping Sheet,Natalie,,Judy,Megan,,Review,3.0,35-79%,Mar,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.A,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
60,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Manuscript of CE TOC and findings,Product,Scoping Sheet,Natalie,,Judy,Megan,,Review,3.0,35-79%,Mar,,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.A,,,,,,,,,,,57.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
61,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Present this paper at the World Bank’s Land and Poverty Conference (TBD),TBD,,,No,Judy,Megan,,Clearance,1.0,96-99%,Mar,Need to print materials with CKM team for conference.,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.B,,,,,,,,,,,97.0,CE Learning Activities,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
62,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Present this paper at the World Bank’s Land and Poverty Conference (TBD),TBD,,,No,Judy,Megan,,Clearance,1.0,96-99%,Mar,Need to print materials with CKM team for conference.,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.B,,,,,,,,,,,97.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE MEL Framework,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
63,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,,Present this paper at the World Bank’s Land and Poverty Conference (TBD),TBD,,,No,Judy,Megan,,Clearance,1.0,96-99%,Mar,Need to print materials with CKM team for conference.,cross_mission_products,Product #,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.1.3.B,,,,,,,,,,,97.0,,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE TOC Manuscript,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
64,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"CWT learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,,Production,12.0,35-79%,Sep,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.A,,,,,,,,,,,57.0,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
65,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"CWT learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,,Production,12.0,35-79%,Sep,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.A,,,,,,,,,,,57.0,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
66,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Prepare up to three CWT newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.B,,,,,,,,,,,57.0,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
67,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Prepare up to three CWT newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,Google Folder,Production,7.0,35-79%,Sep,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.B,,,,,,,,,,,57.0,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
68,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Plan and host up to three webinars on topics relevant to the CWT Learning Agenda,Product,,Caroline,No,Caroline,Megan,Google Folder,Production,8.0,0-24%,,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.C,,,,,,,,,,,12.0,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
69,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Plan and host up to three webinars on topics relevant to the CWT Learning Agenda,Product,,Caroline,No,Caroline,Megan,Google Folder,Production,8.0,0-24%,,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.C,,,,,,,,,,,12.0,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
70,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"Facilitate and support CWT learning event in Bangkok, Thailand from November 21-22 in coordination with TRG",Process,Scoping Sheet,Caroline,No,Caroline,Megan,Google Folder,Completed,4.0,100%,Dec,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.D,,,,,,,,,,,100.0,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
